,Id,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross,Profitability,ROI,Movie Id,Genres,Name
81,32,2015,Dawn Patrol,3500000,0,0,-3500000,0.0,tt2073661,"['Drama', 'Thriller']",Daniel Petrie Jr.
82,34,2015,Lords of London,3440000,0,0,-3440000,0.0,tt1800337,"['Crime', 'Mystery', 'Thriller']",Antonio Simoncini
84,60,2006,Feast,3200000,56131,690872,-2509128,0.2158975,tt4282670,['Horror'],Nathan Waters
85,60,2006,Feast,3200000,56131,690872,-2509128,0.2158975,tt4282670,['Horror'],Timothy Van Mieghem
86,63,2013,Antiviral,3100000,0,123407,-2976593,0.039808709677419354,tt2099556,"['Horror', 'Sci-Fi', 'Thriller']",Brandon Cronenberg
88,67,2013,The Purge,3000000,64473115,91266581,88266581,30.422193666666665,tt2184339,"['Horror', 'Thriller']",James DeMonaco
89,69,2012,Sinister,3000000,48086903,87727807,84727807,29.242602333333334,tt1922777,"['Horror', 'Mystery', 'Thriller']",Holly Bell
91,8,2006,Water,3000000,5529144,11322573,8322573,3.774191,tt2378581,"['Crime', 'Thriller']",Mohammad Bakri
92,8,2006,Water,3000000,5529144,11322573,8322573,3.774191,tt2378581,"['Crime', 'Thriller']",Pini Tavger
93,8,2006,Water,3000000,5529144,11322573,8322573,3.774191,tt2378581,"['Crime', 'Thriller']",Camille Calvin
94,8,2006,Water,3000000,5529144,11322573,8322573,3.774191,tt2378581,"['Crime', 'Thriller']",Mohammad Fuad
95,8,2006,Water,3000000,5529144,11322573,8322573,3.774191,tt2378581,"['Crime', 'Thriller']",Tal Haring
96,8,2006,Water,3000000,5529144,11322573,8322573,3.774191,tt2378581,"['Crime', 'Thriller']",Yona Rozenkier
97,8,2006,Water,3000000,5529144,11322573,8322573,3.774191,tt2378581,"['Crime', 'Thriller']",Maya Sarfaty
98,8,2006,Water,3000000,5529144,11322573,8322573,3.774191,tt2378581,"['Crime', 'Thriller']",Nir Saar
99,8,2006,Water,3000000,5529144,11322573,8322573,3.774191,tt2378581,"['Crime', 'Thriller']",Ahmad Bargouthi
100,8,2006,Water,3000000,5529144,11322573,8322573,3.774191,tt2378581,"['Crime', 'Thriller']",Etna Özbek
102,32,2005,Oldboy,3000000,707391,6239723,3239723,2.0799076666666667,tt1321511,"['Action', 'Drama', 'Mystery']",Spike Lee
103,33,2011,Hobo with a Shotgun,3000000,703372,834953,-2165047,0.2783176666666667,tt1640459,"['Action', 'Comedy', 'Horror']",Jason Eisener
104,38,2011,Creature,3000000,331000,331000,-2669000,0.11033333333333334,tt1686018,['Horror'],Fred Andrews
105,38,2011,Creature,3000000,331000,331000,-2669000,0.11033333333333334,tt1686018,['Horror'],Stefan Lialias
106,45,2007,Holly,3000000,163069,163069,-2836931,0.05435633333333333,tt5294776,"['Action', 'Crime', 'Thriller']",DeShawn Hill
107,53,2012,The Divide,3000000,18000,156362,-2843638,0.05212066666666667,tt1535616,"['Drama', 'Horror', 'Sci-Fi']",Perry King
108,56,2017,Demonic,3000000,0,4668109,1668109,1.5560363333333334,tt1841642,"['Horror', 'Thriller']",Pia Borg
112,68,2015,Something Wicked,3000000,0,0,-3000000,0.0,tt1327601,"['Drama', 'Horror', 'Mystery']",Darin Scott
116,43,2009,The Calling,2500000,0,0,-2500000,0.0,tt1666335,"['Drama', 'Thriller']",Jason Stone
117,43,2009,The Calling,2500000,0,0,-2500000,0.0,tt1666335,"['Drama', 'Thriller']",Maggie Bowman
118,43,2009,The Calling,2500000,0,0,-2500000,0.0,tt1666335,"['Drama', 'Thriller']",Alicia Dwyer
119,43,2009,The Calling,2500000,0,0,-2500000,0.0,tt1666335,"['Drama', 'Thriller']",Yoni Brook
120,43,2009,The Calling,2500000,0,0,-2500000,0.0,tt1666335,"['Drama', 'Thriller']",Musa Syeed
121,43,2009,The Calling,2500000,0,0,-2500000,0.0,tt1666335,"['Drama', 'Thriller']",Rich Varville
122,43,2009,The Calling,2500000,0,0,-2500000,0.0,tt1666335,"['Drama', 'Thriller']",Joseph Polk
123,43,2009,The Calling,2500000,0,0,-2500000,0.0,tt1666335,"['Drama', 'Thriller']",Padcha Ithi
125,48,2015,8 Days,2500000,0,0,-2500000,0.0,tt3111864,"['Drama', 'Thriller']",Jaco Booyens
127,63,2014,Frontera,2300000,59696,59696,-2240304,0.025954782608695652,tt1914258,"['Action', 'Drama', 'Thriller']",Michael Berry
128,63,2014,Frontera,2300000,59696,59696,-2240304,0.025954782608695652,tt1914258,"['Action', 'Drama', 'Thriller']",Manuel Pérez Cáceres
129,63,2014,Frontera,2300000,59696,59696,-2240304,0.025954782608695652,tt1914258,"['Action', 'Drama', 'Thriller']",Jesse Estrada
130,83,2012,Infected,2100000,0,0,-2100000,0.0,tt1622991,"['Action', 'Horror', 'Sci-Fi']",Glenn Ciano
131,83,2012,Infected,2100000,0,0,-2100000,0.0,tt1622991,"['Action', 'Horror', 'Sci-Fi']",Andrew Gilbert
132,86,2016,Sharkskin,2100000,0,0,-2100000,0.0,tt2317796,"['Comedy', 'Drama', 'Mystery']",Dan Perri
134,97,2012,Silent House,2000000,12739737,16610760,14610760,8.30538,tt1767382,"['Drama', 'Horror', 'Mystery']",Laura Lau
135,97,2012,Silent House,2000000,12739737,16610760,14610760,8.30538,tt1767382,"['Drama', 'Horror', 'Mystery']",Chris Kentis
136,8,2010,Winter's Bone,2000000,6531503,16131551,14131551,8.0657755,tt1399683,"['Drama', 'Mystery']",Debra Granik
137,23,2015,Captive,2000000,2583301,2791973,791973,1.3959865,tt1699745,"['Drama', 'Thriller']",Brillante Mendoza
138,23,2015,Captive,2000000,2583301,2791973,791973,1.3959865,tt1699745,"['Drama', 'Thriller']",David Kabale
139,23,2015,Captive,2000000,2583301,2791973,791973,1.3959865,tt1699745,"['Drama', 'Thriller']",Jerry Jameson
140,23,2015,Captive,2000000,2583301,2791973,791973,1.3959865,tt1699745,"['Drama', 'Thriller']",Jonatan Burnett
141,23,2015,Captive,2000000,2583301,2791973,791973,1.3959865,tt1699745,"['Drama', 'Thriller']",Jordan Brown
143,41,2014,The Babadook,2000000,950792,7482387,5482387,3.7411935,tt2321549,"['Drama', 'Horror']",Jennifer Kent
144,60,2015,Lost River,2000000,45431,2009644,9644,1.004822,tt2366608,"['Drama', 'Fantasy', 'Mystery']",Ryan Gosling
146,69,2010,Circle,2000000,10024,10024,-1989976,0.005012,tt1129412,"['Horror', 'Thriller']",Michael W. Watkins
147,69,2010,Circle,2000000,10024,10024,-1989976,0.005012,tt1129412,"['Horror', 'Thriller']",Heath Thompson
148,69,2010,Circle,2000000,10024,10024,-1989976,0.005012,tt1129412,"['Horror', 'Thriller']",Aaron Hann
149,69,2010,Circle,2000000,10024,10024,-1989976,0.005012,tt1129412,"['Horror', 'Thriller']",Mario Miscione
151,76,2011,Grave Encounters,2000000,0,2151887,151887,1.0759435,tt1703199,['Horror'],Colin Minihan
152,76,2011,Grave Encounters,2000000,0,2151887,151887,1.0759435,tt1703199,['Horror'],Stuart Ortiz
153,76,2011,Grave Encounters,2000000,0,2151887,151887,1.0759435,tt1703199,['Horror'],The Vicious Brothers
154,77,2015,Bone Tomahawk,2000000,0,475846,-1524154,0.237923,tt2494362,"['Adventure', 'Drama', 'Horror']",S. Craig Zahler
155,79,2013,Stitches,2000000,0,63555,-1936445,0.0317775,tt1623771,['Horror'],Conor McMahon
156,79,2013,Stitches,2000000,0,63555,-1936445,0.0317775,tt1623771,['Horror'],Trevor Fleming
157,79,2013,Stitches,2000000,0,63555,-1936445,0.0317775,tt1623771,['Horror'],Lee Isserow
158,82,2009,Nine Dead,2000000,0,0,-2000000,0.0,tt0959329,"['Crime', 'Drama', 'Horror']",Chris Shadley
159,93,2001,Pendulum,2000000,0,0,-2000000,0.0,tt6869936,['Thriller'],Michael Rochford
160,96,2015,The Walking Deceased,2000000,0,0,-2000000,0.0,tt3499458,"['Comedy', 'Horror']",Scott Dow
162,99,2015,Wind Walkers,2000000,0,0,-2000000,0.0,tt1236254,"['Action', 'Horror', 'Thriller']",Russell Friedenberg
163,2,2010,Buried,1987650,1044143,21270290,19282640,10.701225064774986,tt1462758,"['Drama', 'Mystery', 'Thriller']",Rodrigo Cortés
164,2,2010,Buried,1987650,1044143,21270290,19282640,10.701225064774986,tt1462758,"['Drama', 'Mystery', 'Thriller']",Will Tizard
165,2,2010,Buried,1987650,1044143,21270290,19282640,10.701225064774986,tt1462758,"['Drama', 'Mystery', 'Thriller']",Emilie Peters
166,15,2010,The Last Exorcism,1800000,41034350,70165900,68365900,38.98105555555556,tt1320244,"['Drama', 'Horror', 'Thriller']",Daniel Stamm
167,29,2009,Deadline,1800000,0,0,-1800000,0.0,tt1430811,"['Drama', 'Mystery', 'Thriller']",Curt Hahn
168,29,2009,Deadline,1800000,0,0,-1800000,0.0,tt1430811,"['Drama', 'Mystery', 'Thriller']",Chris Tasara
169,29,2009,Deadline,1800000,0,0,-1800000,0.0,tt1430811,"['Drama', 'Mystery', 'Thriller']",Charlie Lawton
170,29,2009,Deadline,1800000,0,0,-1800000,0.0,tt1430811,"['Drama', 'Mystery', 'Thriller']",Anthony L. Fletcher
171,37,2010,I Spit on Your Grave,1750000,93051,1278471,-471529,0.7305548571428572,tt1242432,"['Horror', 'Thriller']",Steven R. Monroe
172,38,2019,Living Dark: The Story of Ted the Caver,1750000,0,0,-1750000,0.0,tt2100573,['Horror'],David L. Hunt
173,48,2019,Braid,1660000,0,80745,-1579255,0.04864156626506024,tt4638148,"['Horror', 'Mystery', 'Thriller']",Mitzi Peirone
174,54,2010,N-Secure,1600000,2595644,2595644,995644,1.6222775,tt1289419,"['Crime', 'Drama', 'Thriller']",David M. Matthews
178,84,2013,The Lords of Salem,1500000,1165881,1541131,41131,1.0274206666666668,tt1731697,"['Horror', 'Thriller']",Rob Zombie
180,87,2016,Unsullied,1500000,510957,510957,-989043,0.340638,tt3139764,"['Action', 'Horror', 'Thriller']",Simeon Rice
181,7,2014,Housebound,1500000,0,236863,-1263137,0.15790866666666667,tt3504048,"['Comedy', 'Horror', 'Mystery']",Gerard Johnstone
182,16,2015,#Horror,1500000,0,0,-1500000,0.0,tt3526286,"['Crime', 'Drama', 'Horror']",Tara Subkoff
183,17,2015,Checkmate,1500000,0,0,-1500000,0.0,tt1675846,"['Drama', 'Mystery']",Dana Campbell
184,17,2015,Checkmate,1500000,0,0,-1500000,0.0,tt1675846,"['Drama', 'Mystery']",Arvin N. Berner
185,17,2015,Checkmate,1500000,0,0,-1500000,0.0,tt1675846,"['Drama', 'Mystery']",Ross Lee
186,17,2015,Checkmate,1500000,0,0,-1500000,0.0,tt1675846,"['Drama', 'Mystery']",Brian Michaels
187,17,2015,Checkmate,1500000,0,0,-1500000,0.0,tt1675846,"['Drama', 'Mystery']",Kewin Muhammad
188,17,2015,Checkmate,1500000,0,0,-1500000,0.0,tt1675846,"['Drama', 'Mystery']",Jesse Lefkowitz
189,25,2013,Eddie: The Sleepwalking Cannibal,1400000,1632,1632,-1398368,0.0011657142857142858,tt1480658,"['Comedy', 'Horror']",Boris Rodriguez
190,28,2014,House at the End of the Drive,1400000,0,0,-1400000,0.0,tt0464054,"['Horror', 'Thriller']",David Worth
191,43,2006,Simon,1300000,4055,1738663,438663,1.337433076923077,tt3283708,['Thriller'],Emmanuel Caussé
192,43,2006,Simon,1300000,4055,1738663,438663,1.337433076923077,tt3283708,['Thriller'],Eric Martin
193,43,2006,Simon,1300000,4055,1738663,438663,1.337433076923077,tt3283708,['Thriller'],Warren Badenski
194,43,2006,Simon,1300000,4055,1738663,438663,1.337433076923077,tt3283708,['Thriller'],Xhoslin Rama
195,46,2015,The Algerian,1300000,0,0,-1300000,0.0,tt1681370,"['Action', 'Romance', 'Thriller']",Giovanni Zelko
199,83,2012,Below Zero,1200000,0,0,-1200000,0.0,tt1641388,['Thriller'],Justin Thomas Ostensen
204,100,2012,Beyond the Black Rainbow,1100000,56491,56491,-1043509,0.051355454545454544,tt1534085,"['Horror', 'Sci-Fi', 'Thriller']",Panos Cosmatos
205,7,2010,The Dead Undead,1100000,0,0,-1100000,0.0,tt0923653,"['Action', 'Horror', 'Sci-Fi']",Matthew R. Anderson
206,7,2010,The Dead Undead,1100000,0,0,-1100000,0.0,tt0923653,"['Action', 'Horror', 'Sci-Fi']",Edward Conna
207,8,2013,The Vatican Exorcisms,1100000,0,0,-1100000,0.0,tt3043194,['Horror'],Joe Marino
208,12,2012,The Devil Inside,1000000,53262945,101759490,100759490,101.75949,tt1560985,['Horror'],William Brent Bell
211,18,2012,Chernobyl Diaries,1000000,18119640,42411721,41411721,42.411721,tt1991245,"['Horror', 'Mystery', 'Thriller']",Bradley Parker
212,29,2018,Unfriended: Dark Web,1000000,8866745,16434588,15434588,16.434588,tt4761916,"['Crime', 'Horror', 'Mystery']",Stephen Susco
214,42,2011,Martha Marcy May Marlene,1000000,2981038,5438911,4438911,5.438911,tt1441326,"['Drama', 'Mystery', 'Thriller']",Sean Durkin
215,57,2000,Panic,1000000,779137,1425707,425707,1.425707,tt2634438,"['Drama', 'Mystery', 'Thriller']",Sean Spencer
216,74,2016,The Invitation,1000000,231738,354836,-645164,0.354836,tt2400463,"['Drama', 'Horror', 'Mystery']",Karyn Kusama
217,74,2016,The Invitation,1000000,231738,354836,-645164,0.354836,tt2400463,"['Drama', 'Horror', 'Mystery']",Tommy Chavannes
218,84,2011,The Perfect Host,1000000,48764,51587,-948413,0.051587,tt1334553,"['Comedy', 'Crime', 'Thriller']",Nick Tomnay
219,94,2015,The Sisterhood of Night,1000000,6870,6870,-993130,0.00687,tt1015471,"['Drama', 'Mystery', 'Thriller']",Caryn Waechter
220,11,2012,Snow White: A Deadly Summer,1000000,0,0,-1000000,0.0,tt2149137,['Horror'],David DeCoteau
223,16,2013,Zombie Hunter,1000000,0,0,-1000000,0.0,tt2446502,"['Action', 'Comedy', 'Horror']",K. King
225,22,2016,Hush,1000000,0,0,-1000000,0.0,tt2077772,"['Drama', 'Thriller']",Jyri Kähönen
226,22,2016,Hush,1000000,0,0,-1000000,0.0,tt2077772,"['Drama', 'Thriller']",Punam Kumar Gill
227,30,2014,Banshee Chapter,950000,0,78122,-871878,0.08223368421052632,tt2011276,"['Horror', 'Sci-Fi', 'Thriller']",Blair Erickson
228,31,2012,Trance,950000,0,0,-950000,0.0,tt1111235,['Horror'],Hans Rodionoff
229,31,2012,Trance,950000,0,0,-950000,0.0,tt1111235,['Horror'],Emilio Belmonte
231,44,2013,The Brass Teapot,900000,6997,413733,-486267,0.45970333333333335,tt1935902,"['Comedy', 'Fantasy', 'Thriller']",Ramaa Mosley
232,51,2015,Windsor Drive,850000,3256,3256,-846744,0.0038305882352941177,tt2311428,"['Mystery', 'Thriller']",Natalie Bible'
233,52,2012,Snitch,850000,0,0,-850000,0.0,tt0882977,"['Action', 'Drama', 'Thriller']",Ric Roman Waugh
235,71,2015,Vessel,800000,0,0,-800000,0.0,tt1916755,"['Drama', 'Horror']",Johan Heurlin Aidt
236,71,2015,Vessel,800000,0,0,-800000,0.0,tt1916755,"['Drama', 'Horror']",Diana Whitten
237,71,2015,Vessel,800000,0,0,-800000,0.0,tt1916755,"['Drama', 'Horror']",Adam Ciancio
238,78,2012,The Innkeepers,750000,78396,1011535,261535,1.3487133333333334,tt1594562,"['Drama', 'Horror', 'Mystery']",Ti West
241,96,2015,Walter,700000,0,0,-700000,0.0,tt10300704,['Thriller'],Anbarasan
242,96,2015,Walter,700000,0,0,-700000,0.0,tt10300704,['Thriller'],David Rorie
243,96,2015,Walter,700000,0,0,-700000,0.0,tt10300704,['Thriller'],Anna Mastro
244,96,2015,Walter,700000,0,0,-700000,0.0,tt10300704,['Thriller'],Varante Soudjian
245,96,2015,Walter,700000,0,0,-700000,0.0,tt10300704,['Thriller'],Daniela Imhoff
246,100,2013,Escape from Tomorrow,650000,171962,171962,-478038,0.2645569230769231,tt2187884,"['Drama', 'Fantasy', 'Horror']",Randy Moore
247,2,2012,After,650000,0,0,-650000,0.0,tt1147681,"['Drama', 'Mystery']",Géraldine Maillet
248,2,2012,After,650000,0,0,-650000,0.0,tt1147681,"['Drama', 'Mystery']",Pieter Gaspersz
249,2,2012,After,650000,0,0,-650000,0.0,tt1147681,"['Drama', 'Mystery']",Jenny Gage
250,2,2012,After,650000,0,0,-650000,0.0,tt1147681,"['Drama', 'Mystery']",Ben Brown
251,2,2012,After,650000,0,0,-650000,0.0,tt1147681,"['Drama', 'Mystery']",Ryan Smith
252,2,2012,After,650000,0,0,-650000,0.0,tt1147681,"['Drama', 'Mystery']",Yuni Mahieu
253,2,2012,After,650000,0,0,-650000,0.0,tt1147681,"['Drama', 'Mystery']",Shaun Peter Cunningham
254,5,2013,Treachery,625000,0,0,-625000,0.0,tt2380301,"['Drama', 'Thriller']",Travis Romero
257,50,2010,Monsters,500000,237301,5639730,5139730,11.27946,tt1470827,"['Drama', 'Sci-Fi', 'Thriller']",Melissa Thompson
258,50,2010,Monsters,500000,237301,5639730,5139730,11.27946,tt1470827,"['Drama', 'Sci-Fi', 'Thriller']",Aksel Rifman
259,50,2010,Monsters,500000,237301,5639730,5139730,11.27946,tt1470827,"['Drama', 'Sci-Fi', 'Thriller']",Hua Guo
261,67,2018,Higher Power,500000,528,528,-499472,0.001056,tt2924392,"['Action', 'Sci-Fi', 'Thriller']",Matthew Charles Santoro
262,73,2012,Enter Nowhere,500000,0,0,-500000,0.0,tt1631707,"['Mystery', 'Sci-Fi', 'Thriller']",Jack Heller
263,74,2012,Girls Gone Dead,500000,0,0,-500000,0.0,tt1884318,"['Comedy', 'Horror']",Michael Hoffman Jr.
264,74,2012,Girls Gone Dead,500000,0,0,-500000,0.0,tt1884318,"['Comedy', 'Horror']",Aaron T. Wells
265,78,2015,Subconscious,500000,0,0,-500000,0.0,tt1764615,['Horror'],Georgia Hilton
266,78,2015,Subconscious,500000,0,0,-500000,0.0,tt1764615,['Horror'],Chris Petropoulos
268,81,2015,Love in the Time of Monsters,500000,0,0,-500000,0.0,tt2403415,"['Comedy', 'Horror']",Matt Jackson
270,89,2014,The Sound and the Shadow,500000,0,0,-500000,0.0,tt2190180,"['Comedy', 'Mystery', 'Thriller']",Justin Paul Miller
271,7,2014,Blue Ruin,420000,258384,437002,17002,1.0404809523809524,tt2359024,"['Crime', 'Drama', 'Thriller']",Jeremy Saulnier
273,57,2014,Locker 13,300000,3496,3496,-296504,0.011653333333333333,tt1241226,['Thriller'],Jason Marsden
274,57,2014,Locker 13,300000,3496,3496,-296504,0.011653333333333333,tt1241226,['Thriller'],Matthew Mebane
275,57,2014,Locker 13,300000,3496,3496,-296504,0.011653333333333333,tt1241226,['Thriller'],Donovan Montierth
276,57,2014,Locker 13,300000,3496,3496,-296504,0.011653333333333333,tt1241226,['Thriller'],Adam Montierth
277,57,2014,Locker 13,300000,3496,3496,-296504,0.011653333333333333,tt1241226,['Thriller'],Bruce Dellis
278,63,2015,Teeth and Blood,300000,0,0,-300000,0.0,tt1991199,"['Action', 'Horror']",Al Franklin
279,63,2015,Teeth and Blood,300000,0,0,-300000,0.0,tt1991199,"['Action', 'Horror']",Pamela J. Richardson
280,67,2010,Death Calls,290000,0,0,-290000,0.0,tt1328873,"['Action', 'Adventure', 'Mystery']",Ken Del Conte
281,82,1999,Sugar Town,250000,178095,178095,-71905,0.71238,tt9125468,"['Drama', 'Horror', 'Sci-Fi']",Andrew Herwitz
284,98,2010,Butterfly,250000,0,0,-250000,0.0,tt1342096,"['Horror', 'Thriller']",Edward E. Romero
