,Id,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross,Profitability,ROI,Genres
2,5,1990,Ghost,22000000,217631306,517600000,713231306,33.41960481818182,Drama
2,5,1990,Ghost,22000000,217631306,517600000,713231306,33.41960481818182,Mystery
3,24,2017,It,35000000,327481748,697457969,989939717,29.283991914285714,Horror
3,24,2017,It,35000000,327481748,697457969,989939717,29.283991914285714,Thriller
6,33,1992,Aladdin,28000000,217350219,504050219,693400438,25.764301357142855,Adventure
6,33,1992,Aladdin,28000000,217350219,504050219,693400438,25.764301357142855,Comedy
10,68,1992,The Bodyguard,25000000,121945720,410899039,507844759,21.31379036,Drama
14,78,2015,Fifty Shades of Grey,40000000,166167230,570998101,697165331,18.429133275,Drama
14,78,2015,Fifty Shades of Grey,40000000,166167230,570998101,697165331,18.429133275,Romance
14,78,2015,Fifty Shades of Grey,40000000,166167230,570998101,697165331,18.429133275,Thriller
17,36,1984,Ghostbusters,30000000,242212467,295212467,507424934,17.914164466666666,Action
17,36,1984,Ghostbusters,30000000,242212467,295212467,507424934,17.914164466666666,Comedy
18,71,2018,Green Book,23000000,85080171,322034439,384114610,17.700635217391305,Biography
18,71,2018,Green Book,23000000,85080171,322034439,384114610,17.700635217391305,Comedy
18,71,2018,Green Book,23000000,85080171,322034439,384114610,17.700635217391305,Drama
19,59,2012,Silver Linings Playbook,21000000,132092958,236412453,347505411,17.547876714285714,Comedy
19,59,2012,Silver Linings Playbook,21000000,132092958,236412453,347505411,17.547876714285714,Drama
19,59,2012,Silver Linings Playbook,21000000,132092958,236412453,347505411,17.547876714285714,Romance
22,14,2015,Pitch Perfect 2,29000000,184296230,287625468,442921698,16.273162,Comedy
24,64,2016,Hidden Figures,25000000,169607287,231771716,376379003,16.05516012,Biography
24,64,2016,Hidden Figures,25000000,169607287,231771716,376379003,16.05516012,Drama
27,63,2011,The Help,25000000,169705587,213120004,357825591,15.31302364,Drama
33,83,2014,Lucy,40000000,126573960,457507776,544081736,14.6020434,Action
33,83,2014,Lucy,40000000,126573960,457507776,544081736,14.6020434,Thriller
37,85,2011,Bridesmaids,32500000,169211718,289632023,426343741,14.118268953846155,Comedy
37,85,2011,Bridesmaids,32500000,169211718,289632023,426343741,14.118268953846155,Romance
38,38,2018,Crazy Rich Asians,30000000,174532921,238099711,382632632,13.754421066666668,Comedy
38,38,2018,Crazy Rich Asians,30000000,174532921,238099711,382632632,13.754421066666668,Romance
39,43,1994,Speed,30000000,121248145,283200000,374448145,13.481604833333334,Drama
42,60,2014,The Maze Runner,34000000,102427862,348319861,416747723,13.257285970588235,Action
42,60,2014,The Maze Runner,34000000,102427862,348319861,416747723,13.257285970588235,Mystery
43,77,2010,The Karate Kid,40000000,176591618,351774938,488366556,13.2091639,Action
43,77,2010,The Karate Kid,40000000,176591618,351774938,488366556,13.2091639,Drama
44,40,1999,Big Daddy,30000000,163479795,228641283,362121078,13.0707026,Drama
45,35,2015,Straight Outta Compton,28000000,161197785,202182981,335380766,12.9778845,Biography
45,35,2015,Straight Outta Compton,28000000,161197785,202182981,335380766,12.9778845,Drama
51,29,2010,True Grit,35000000,171243005,252276928,388519933,12.100569514285715,Adventure
51,29,2010,True Grit,35000000,171243005,252276928,388519933,12.100569514285715,Drama
53,67,2014,Ride Along,25000000,134202565,153733800,262936365,11.5174546,Action
53,67,2014,Ride Along,25000000,134202565,153733800,262936365,11.5174546,Comedy
53,67,2014,Ride Along,25000000,134202565,153733800,262936365,11.5174546,Crime
57,90,2013,We're the Millers,37000000,150394119,267816276,381210395,11.302983648648649,Comedy
57,90,2013,We're the Millers,37000000,150394119,267816276,381210395,11.302983648648649,Crime
67,42,2012,The Vow,30000000,125014030,197618160,292632190,10.754406333333334,Drama
