,Id,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross,Profitability,ROI,Genres
2,80,2015,The Gallows,100000,22764410,41656474,64320884,644.20884,Horror
2,80,2015,The Gallows,100000,22764410,41656474,64320884,644.20884,Mystery
2,80,2015,The Gallows,100000,22764410,41656474,64320884,644.20884,Thriller
14,12,2012,The Devil Inside,1000000,53262945,101759490,154022435,155.022435,Horror
21,90,2014,God's Not Dead,1150000,60755732,63777092,123382824,108.28941217391305,Drama
23,63,2011,Insidious,1500000,54009150,99870886,152380036,102.58669066666667,Horror
23,63,2011,Insidious,1500000,54009150,99870886,152380036,102.58669066666667,Mystery
23,63,2011,Insidious,1500000,54009150,99870886,152380036,102.58669066666667,Thriller
24,14,2015,Unfriended,1000000,32789645,64364198,96153843,97.153843,Horror
24,14,2015,Unfriended,1000000,32789645,64364198,96153843,97.153843,Mystery
24,14,2015,Unfriended,1000000,32789645,64364198,96153843,97.153843,Thriller
26,60,2009,Home,500000,15433,44793168,44308601,89.617202,Drama
29,65,2010,Paranormal Activity 2,3000000,84752907,177512032,259264939,87.42164633333333,Horror
30,49,2017,Get Out,5000000,176040665,255367951,426408616,86.2817232,Horror
30,49,2017,Get Out,5000000,176040665,255367951,426408616,86.2817232,Mystery
30,49,2017,Get Out,5000000,176040665,255367951,426408616,86.2817232,Thriller
31,50,2017,Split,5000000,138141585,278964806,412106391,83.4212782,Comedy
31,50,2017,Split,5000000,138141585,278964806,412106391,83.4212782,Romance
35,51,2011,Paranormal Activity 3,5000000,104028807,207039844,306068651,62.2137302,Horror
35,51,2011,Paranormal Activity 3,5000000,104028807,207039844,306068651,62.2137302,Mystery
35,51,2011,Paranormal Activity 3,5000000,104028807,207039844,306068651,62.2137302,Thriller
36,64,2016,Moonlight,1500000,27854931,65245512,91600443,62.066962,Drama
38,15,2010,The Last Exorcism,1800000,41034350,70165900,109400250,61.77791666666667,Drama
38,15,2010,The Last Exorcism,1800000,41034350,70165900,109400250,61.77791666666667,Horror
38,15,2010,The Last Exorcism,1800000,41034350,70165900,109400250,61.77791666666667,Thriller
39,18,2012,Chernobyl Diaries,1000000,18119640,42411721,59531361,60.531361,Horror
39,18,2012,Chernobyl Diaries,1000000,18119640,42411721,59531361,60.531361,Mystery
39,18,2012,Chernobyl Diaries,1000000,18119640,42411721,59531361,60.531361,Thriller
40,16,1996,Swingers,200000,4505922,6618578,10924500,55.6225,Comedy
41,67,2013,The Purge,3000000,64473115,91266581,152739696,51.913232,Horror
41,67,2013,The Purge,3000000,64473115,91266581,152739696,51.913232,Thriller
46,66,2015,War Room,3000000,67790117,73975239,138765356,47.25511866666667,Drama
49,17,2013,You're Next,1000000,18494006,26887177,44381183,45.381183,Action
49,17,2013,You're Next,1000000,18494006,26887177,44381183,45.381183,Comedy
49,17,2013,You're Next,1000000,18494006,26887177,44381183,45.381183,Horror
50,69,2012,Sinister,3000000,48086903,87727807,132814710,45.27157,Horror
50,69,2012,Sinister,3000000,48086903,87727807,132814710,45.27157,Mystery
50,69,2012,Sinister,3000000,48086903,87727807,132814710,45.27157,Thriller
51,86,2017,A Ghost Story,100000,1594798,2769782,4264580,43.6458,Drama
51,86,2017,A Ghost Story,100000,1594798,2769782,4264580,43.6458,Romance
52,55,2016,Lights Out,5000000,67268835,148806510,211075345,43.215069,Drama
56,12,2013,A Haunted House,2500000,40041683,59922558,97464241,39.9856964,Comedy
58,59,2012,Paranormal Activity 4,5000000,53900335,142817992,191718327,39.3436654,Horror
58,59,2012,Paranormal Activity 4,5000000,53900335,142817992,191718327,39.3436654,Mystery
58,59,2012,Paranormal Activity 4,5000000,53900335,142817992,191718327,39.3436654,Thriller
59,73,2012,Your Sister's Sister,120000,1597486,3090593,4568079,39.067325,Comedy
59,73,2012,Your Sister's Sister,120000,1597486,3090593,4568079,39.067325,Drama
60,91,2018,Truth or Dare,3500000,41411015,95127344,133038359,39.01095971428571,Horror
60,91,2018,Truth or Dare,3500000,41411015,95127344,133038359,39.01095971428571,Romance
60,91,2018,Truth or Dare,3500000,41411015,95127344,133038359,39.01095971428571,Thriller
61,78,1998,Cube,250000,489220,8969065,9208285,37.83314,Documentary
62,38,2013,Fruitvale Station,900000,16098998,17549645,32748643,37.38738111111111,Drama
62,38,2013,Fruitvale Station,900000,16098998,17549645,32748643,37.38738111111111,Romance
63,58,2017,Happy Death Day,5000000,55683845,125010260,175694105,36.138821,Horror
63,58,2017,Happy Death Day,5000000,55683845,125010260,175694105,36.138821,Mystery
63,58,2017,Happy Death Day,5000000,55683845,125010260,175694105,36.138821,Thriller
64,54,2016,10 Cloverfield Lane,5000000,72082999,108286422,175369421,36.0738842,Drama
64,54,2016,10 Cloverfield Lane,5000000,72082999,108286422,175369421,36.0738842,Horror
64,54,2016,10 Cloverfield Lane,5000000,72082999,108286422,175369421,36.0738842,Mystery
67,87,2011,Courageous,2000000,34522221,35185884,67708105,34.8540525,Drama
69,65,2003,Cabin Fever,1500000,21158188,30351664,50009852,34.33990133333333,Horror
71,56,2015,The Visit,5000000,65206105,98677816,158883921,32.7767842,Comedy
71,56,2015,The Visit,5000000,65206105,98677816,158883921,32.7767842,Drama
71,56,2015,The Visit,5000000,65206105,98677816,158883921,32.7767842,Romance
72,72,2017,Sleight,250000,3930990,3934450,7615440,31.46176,Action
72,72,2017,Sleight,250000,3930990,3934450,7615440,31.46176,Drama
72,72,2017,Sleight,250000,3930990,3934450,7615440,31.46176,Sci-Fi
75,60,2014,Ouija,5000000,50856010,103300632,149156642,30.8313284,Horror
75,60,2014,Ouija,5000000,50856010,103300632,149156642,30.8313284,Mystery
75,60,2014,Ouija,5000000,50856010,103300632,149156642,30.8313284,Thriller
82,74,2011,Like Crazy,250000,3395391,3728400,6873791,28.495164,Drama
82,74,2011,Like Crazy,250000,3395391,3728400,6873791,28.495164,Romance
85,67,2006,Clean,10000,138711,138711,267422,27.7422,Comedy
85,67,2006,Clean,10000,138711,138711,267422,27.7422,Drama
85,67,2006,Clean,10000,138711,138711,267422,27.7422,Horror
