,Id,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross,Profitability,ROI,Genres
1,73,2015,Minions,74000000,336045770,1160336173,1422381943,20.221377608108106,Adventure
1,73,2015,Minions,74000000,336045770,1160336173,1422381943,20.221377608108106,Animation
1,73,2015,Minions,74000000,336045770,1160336173,1422381943,20.221377608108106,Comedy
2,84,2018,Bohemian Rhapsody,55000000,216303339,894985342,1056288681,20.205248745454547,Drama
3,56,2016,Deadpool,58000000,363070709,801025593,1106096302,20.070625896551725,Action
3,56,2016,Deadpool,58000000,363070709,801025593,1106096302,20.070625896551725,Adventure
3,56,2016,Deadpool,58000000,363070709,801025593,1106096302,20.070625896551725,Comedy
7,9,1994,The Lion King,79300000,421785283,986214868,1328700151,17.75536129886507,Adventure
7,9,1994,The Lion King,79300000,421785283,986214868,1328700151,17.75536129886507,Animation
7,9,1994,The Lion King,79300000,421785283,986214868,1328700151,17.75536129886507,Drama
8,22,2013,Despicable Me 2,76000000,368065385,975216835,1267282220,17.67476605263158,Adventure
8,22,2013,Despicable Me 2,76000000,368065385,975216835,1267282220,17.67476605263158,Animation
8,22,2013,Despicable Me 2,76000000,368065385,975216835,1267282220,17.67476605263158,Comedy
9,30,2017,Despicable Me 3,75000000,264624300,1034727750,1224352050,17.324694,Adventure
9,30,2017,Despicable Me 3,75000000,264624300,1034727750,1224352050,17.324694,Animation
9,30,2017,Despicable Me 3,75000000,264624300,1034727750,1224352050,17.324694,Comedy
10,26,2016,The Secret Life of Pets,75000000,368384330,886750534,1180134864,16.73513152,Adventure
10,26,2016,The Secret Life of Pets,75000000,368384330,886750534,1180134864,16.73513152,Animation
10,26,2016,The Secret Life of Pets,75000000,368384330,886750534,1180134864,16.73513152,Comedy
12,84,2012,Ted,50000000,218665740,556016627,724682367,15.49364734,Comedy
12,84,2012,Ted,50000000,218665740,556016627,724682367,15.49364734,Fantasy
13,57,2014,American Sniper,58000000,350126372,547326372,839452744,15.473323172413792,Action
13,57,2014,American Sniper,58000000,350126372,547326372,839452744,15.473323172413792,Drama
14,38,2017,Jumanji: Welcome to the Jungle,90000000,404508916,964496193,1279005109,15.211167877777777,Action
14,38,2017,Jumanji: Welcome to the Jungle,90000000,404508916,964496193,1279005109,15.211167877777777,Adventure
14,38,2017,Jumanji: Welcome to the Jungle,90000000,404508916,964496193,1279005109,15.211167877777777,Comedy
17,53,2010,The Twilight Saga: Eclipse,68000000,300531751,706102828,938634579,14.803449691176471,Adventure
17,53,2010,The Twilight Saga: Eclipse,68000000,300531751,706102828,938634579,14.803449691176471,Drama
17,53,2010,The Twilight Saga: Eclipse,68000000,300531751,706102828,938634579,14.803449691176471,Fantasy
19,43,1997,Titanic,200000000,659363944,2208208395,2667572339,14.337861695,Adventure
24,38,2012,The Hunger Games,80000000,408010692,677923379,1005934071,13.5741758875,Action
24,38,2012,The Hunger Games,80000000,408010692,677923379,1005934071,13.5741758875,Adventure
24,38,2012,The Hunger Games,80000000,408010692,677923379,1005934071,13.5741758875,Sci-Fi
27,29,2016,Sing,75000000,270329045,634454789,829783834,12.063784453333334,Animation
27,29,2016,Sing,75000000,270329045,634454789,829783834,12.063784453333334,Comedy
27,29,2016,Sing,75000000,270329045,634454789,829783834,12.063784453333334,Family
28,44,2014,The Lego Movie,60000000,257784718,457729388,655514106,11.9252351,Action
28,44,2014,The Lego Movie,60000000,257784718,457729388,655514106,11.9252351,Adventure
28,44,2014,The Lego Movie,60000000,257784718,457729388,655514106,11.9252351,Animation
30,50,2010,Despicable Me,69000000,251513985,543464573,725978558,11.521428376811594,Animation
30,50,2010,Despicable Me,69000000,251513985,543464573,725978558,11.521428376811594,Comedy
30,50,2010,Despicable Me,69000000,251513985,543464573,725978558,11.521428376811594,Family
34,56,2013,Frozen,150000000,400738009,1272469910,1523207919,11.15471946,Adventure
34,56,2013,Frozen,150000000,400738009,1272469910,1523207919,11.15471946,Drama
38,35,2017,Beauty and the Beast,160000000,504014165,1259199706,1603213871,11.02008669375,Drama
38,35,2017,Beauty and the Beast,160000000,504014165,1259199706,1603213871,11.02008669375,Fantasy
39,14,2012,Ice Age: Continental Drift,95000000,161321843,879765137,946086980,10.958810315789474,Adventure
39,14,2012,Ice Age: Continental Drift,95000000,161321843,879765137,946086980,10.958810315789474,Animation
