index,Id,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross,Profitability,ARR,Movie Id,Genres,prod_budget_bucket
3932,70,2014,Paranormal Activity: The Marked Ones,5000000,32462372,90904854,85904854,18.1809708,tt2473682,Mystery,b1
3932,70,2014,Paranormal Activity: The Marked Ones,5000000,32462372,90904854,85904854,18.1809708,tt2473682,Thriller,b1
3933,72,2014,Oculus,5000000,27695246,44115496,39115496,8.8230992,tt2388715,Horror,b1
3933,72,2014,Oculus,5000000,27695246,44115496,39115496,8.8230992,tt2388715,Mystery,b1
3934,73,2013,Dallas Buyers Club,5000000,27298285,60611845,55611845,12.122369,tt0790636,Drama,b1
3935,74,2015,No Escape,5000000,27288872,42844516,37844516,8.5689032,tt1781922,Action,b1
3935,74,2015,No Escape,5000000,27288872,42844516,37844516,8.5689032,tt1781922,Thriller,b1
3936,76,2015,The Lazarus Effect,5000000,25801570,38359310,33359310,7.671862,tt2918436,Horror,b1
3936,76,2015,The Lazarus Effect,5000000,25801570,38359310,33359310,7.671862,tt2918436,Mystery,b1
3936,76,2015,The Lazarus Effect,5000000,25801570,38359310,33359310,7.671862,tt2918436,Sci-Fi,b1
3938,78,2011,Our Idiot Brother,5000000,24814830,25861249,20861249,5.1722498,tt1637706,Comedy,b1
3938,78,2011,Our Idiot Brother,5000000,24814830,25861249,20861249,5.1722498,tt1637706,Drama,b1
3939,79,2018,The Strangers: Prey at Night,5000000,24431472,29960051,24960051,5.9920102,tt1285009,Horror,b1
3942,82,2000,Billy Elliot,5000000,21995263,109253745,104253745,21.850749,tt4085696,Comedy,b1
3942,82,2000,Billy Elliot,5000000,21995263,109253745,104253745,21.850749,tt4085696,Drama,b1
3943,83,2013,The Way Way Back,5000000,21502690,26853810,21853810,5.370762,tt1727388,Comedy,b1
3943,83,2013,The Way Way Back,5000000,21502690,26853810,21853810,5.370762,tt1727388,Drama,b1
3944,84,2014,"As Above, So Below",5000000,21222315,41824066,36824066,8.3648132,tt10012842,Documentary,b1
3946,86,1997,The Apostle,5000000,20733485,21277770,16277770,4.255554,tt1331294,Horror,b1
3949,90,2016,Race,5000000,19115191,23745772,18745772,4.7491544,tt1568874,Documentary,b1
3950,92,2015,Still Alice,5000000,18656400,41699612,36699612,8.3399224,tt3316960,Drama,b1
3951,94,2011,Apollo 18,5000000,17686929,26517819,21517819,5.3035638,tt1772240,Horror,b1
3951,94,2011,Apollo 18,5000000,17686929,26517819,21517819,5.3035638,tt1772240,Mystery,b1
3951,94,2011,Apollo 18,5000000,17686929,26517819,21517819,5.3035638,tt1772240,Sci-Fi,b1
3952,95,2018,"Paul, Apostle of Christ",5000000,17547999,25529498,20529498,5.1058996,tt7388562,Drama,b1
3953,96,2014,Addicted,5000000,17390770,17499242,12499242,3.4998484,tt2205401,Drama,b1
3953,96,2014,Addicted,5000000,17390770,17499242,12499242,3.4998484,tt2205401,Thriller,b1
3957,3,2013,Spring Breakers,5000000,14124286,31149251,26149251,6.2298502,tt2101441,Comedy,b1
3957,3,2013,Spring Breakers,5000000,14124286,31149251,26149251,6.2298502,tt2101441,Crime,b1
3957,3,2013,Spring Breakers,5000000,14124286,31149251,26149251,6.2298502,tt2101441,Drama,b1
3958,4,2017,It Comes at Night,5000000,13985117,19720203,14720203,3.9440406,tt4695012,Horror,b1
3958,4,2017,It Comes at Night,5000000,13985117,19720203,14720203,3.9440406,tt4695012,Mystery,b1
3964,12,2017,Before I Fall,5000000,12241072,18945682,13945682,3.7891364,tt1691916,Drama,b1
3964,12,2017,Before I Fall,5000000,12241072,18945682,13945682,3.7891364,tt1691916,Mystery,b1
3966,15,2016,Fifty Shades of Black,5000000,11686940,22113075,17113075,4.422615,tt4667094,Comedy,b1
3969,21,2017,The Belko Experiment,5000000,10166820,11792942,6792942,2.3585884,tt1082807,Horror,b1
3969,21,2017,The Belko Experiment,5000000,10166820,11792942,6792942,2.3585884,tt1082807,Thriller,b1
3970,22,2016,The Perfect Match,5000000,9669521,10182050,5182050,2.03641,tt3444696,Documentary,b1
3974,28,2001,The Forsaken,5000000,6755271,6755271,1755271,1.3510542,tt5124556,Drama,b1
3974,28,2001,The Forsaken,5000000,6755271,6755271,1755271,1.3510542,tt5124556,Horror,b1
3974,28,2001,The Forsaken,5000000,6755271,6755271,1755271,1.3510542,tt5124556,Thriller,b1
3975,29,2018,Fahrenheit 11/9,5000000,6352306,6653715,1653715,1.330743,tt8632862,Documentary,b1
3976,31,2010,Sea Rex 3D: Journey to a Prehistoric World,5000000,6096582,16515203,11515203,3.3030406,tt1529567,Documentary,b1
3982,38,2015,90 Minutes in Heaven,5000000,4816142,4816142,-183858,0.9632284,tt4337690,Drama,b1
3983,39,2016,Incarnate,5000000,4799774,9371036,4371036,1.8742072,tt3216348,Horror,b1
3983,39,2016,Incarnate,5000000,4799774,9371036,4371036,1.8742072,tt3216348,Thriller,b1
3988,45,2017,Table 19,5000000,3614896,4620399,-379601,0.9240798,tt1412528,Comedy,b1
3988,45,2017,Table 19,5000000,3614896,4620399,-379601,0.9240798,tt1412528,Drama,b1
3988,45,2017,Table 19,5000000,3614896,4620399,-379601,0.9240798,tt1412528,Romance,b1
3989,46,2016,Green Room,5000000,3220371,3807503,-1192497,0.7615006,tt4062536,Horror,b1
3989,46,2016,Green Room,5000000,3220371,3807503,-1192497,0.7615006,tt4062536,Thriller,b1
3990,47,2018,Thoroughbreds,5000000,3072605,3187302,-1812698,0.6374604,tt5649108,Comedy,b1
3990,47,2018,Thoroughbreds,5000000,3072605,3187302,-1812698,0.6374604,tt5649108,Crime,b1
3990,47,2018,Thoroughbreds,5000000,3072605,3187302,-1812698,0.6374604,tt5649108,Drama,b1
3992,49,2016,The Other Side of the Door,5000000,3000342,12905107,7905107,2.5810214,tt3566920,Drama,b1
3993,50,2011,Everything Must Go,5000000,2712131,2821010,-2178990,0.564202,tt1531663,Comedy,b1
3993,50,2011,Everything Must Go,5000000,2712131,2821010,-2178990,0.564202,tt1531663,Drama,b1
3994,51,2014,Kill the Messenger,5000000,2450846,6656705,1656705,1.331341,tt1216491,Crime,b1
3994,51,2014,Kill the Messenger,5000000,2450846,6656705,1656705,1.331341,tt1216491,Drama,b1
3995,52,2010,Rabbit Hole,5000000,2229058,6205034,1205034,1.2410068,tt0935075,Drama,b1
3996,53,2015,Jem and the Holograms,5000000,2184640,2368937,-2631063,0.4737874,tt3614530,Drama,b1
3997,54,2016,Paterson,5000000,2141423,10727536,5727536,2.1455072,tt5247022,Comedy,b1
3997,54,2016,Paterson,5000000,2141423,10727536,5727536,2.1455072,tt5247022,Drama,b1
3997,54,2016,Paterson,5000000,2141423,10727536,5727536,2.1455072,tt5247022,Romance,b1
4003,60,2014,Atlas Shrugged: Who Is John Galt?,5000000,851690,851690,-4148310,0.170338,tt2800038,Drama,b1
4003,60,2014,Atlas Shrugged: Who Is John Galt?,5000000,851690,851690,-4148310,0.170338,tt2800038,Mystery,b1
4003,60,2014,Atlas Shrugged: Who Is John Galt?,5000000,851690,851690,-4148310,0.170338,tt2800038,Sci-Fi,b1
4007,64,2013,Ain't Them Bodies Saints,5000000,391611,1075009,-3924991,0.2150018,tt2388637,Crime,b1
4007,64,2013,Ain't Them Bodies Saints,5000000,391611,1075009,-3924991,0.2150018,tt2388637,Drama,b1
4007,64,2013,Ain't Them Bodies Saints,5000000,391611,1075009,-3924991,0.2150018,tt2388637,Romance,b1
4014,71,2015,Cop Car,5000000,134552,143658,-4856342,0.0287316,tt3813310,Crime,b1
4014,71,2015,Cop Car,5000000,134552,143658,-4856342,0.0287316,tt3813310,Thriller,b1
4019,76,2008,Stuck,5000000,67505,67505,-4932495,0.013501,tt2232596,Comedy,b1
4019,76,2008,Stuck,5000000,67505,67505,-4932495,0.013501,tt2232596,Drama,b1
4021,78,2014,Rudderless,5000000,56001,567219,-4432781,0.1134438,tt1798243,Comedy,b1
