,Id,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross,Profitability,ROI,Genres,bucket
2,80,2015,The Gallows,100000,22764410,41656474,64320884,644.20884,Horror,r1
2,80,2015,The Gallows,100000,22764410,41656474,64320884,644.20884,Mystery,r1
2,80,2015,The Gallows,100000,22764410,41656474,64320884,644.20884,Thriller,r1
14,12,2012,The Devil Inside,1000000,53262945,101759490,154022435,155.022435,Horror,r1
21,90,2014,God's Not Dead,1150000,60755732,63777092,123382824,108.28941217391305,Drama,r1
23,63,2011,Insidious,1500000,54009150,99870886,152380036,102.58669066666667,Horror,r1
23,63,2011,Insidious,1500000,54009150,99870886,152380036,102.58669066666667,Mystery,r1
23,63,2011,Insidious,1500000,54009150,99870886,152380036,102.58669066666667,Thriller,r1
24,14,2015,Unfriended,1000000,32789645,64364198,96153843,97.153843,Horror,r1
24,14,2015,Unfriended,1000000,32789645,64364198,96153843,97.153843,Mystery,r1
24,14,2015,Unfriended,1000000,32789645,64364198,96153843,97.153843,Thriller,r1
26,60,2009,Home,500000,15433,44793168,44308601,89.617202,Drama,r1
29,65,2010,Paranormal Activity 2,3000000,84752907,177512032,259264939,87.42164633333333,Horror,r1
30,49,2017,Get Out,5000000,176040665,255367951,426408616,86.2817232,Horror,r1
30,49,2017,Get Out,5000000,176040665,255367951,426408616,86.2817232,Mystery,r1
30,49,2017,Get Out,5000000,176040665,255367951,426408616,86.2817232,Thriller,r1
31,50,2017,Split,5000000,138141585,278964806,412106391,83.4212782,Comedy,r1
31,50,2017,Split,5000000,138141585,278964806,412106391,83.4212782,Romance,r1
35,51,2011,Paranormal Activity 3,5000000,104028807,207039844,306068651,62.2137302,Horror,r1
35,51,2011,Paranormal Activity 3,5000000,104028807,207039844,306068651,62.2137302,Mystery,r1
35,51,2011,Paranormal Activity 3,5000000,104028807,207039844,306068651,62.2137302,Thriller,r1
36,64,2016,Moonlight,1500000,27854931,65245512,91600443,62.066962,Drama,r1
38,15,2010,The Last Exorcism,1800000,41034350,70165900,109400250,61.77791666666667,Drama,r1
38,15,2010,The Last Exorcism,1800000,41034350,70165900,109400250,61.77791666666667,Horror,r1
38,15,2010,The Last Exorcism,1800000,41034350,70165900,109400250,61.77791666666667,Thriller,r1
39,18,2012,Chernobyl Diaries,1000000,18119640,42411721,59531361,60.531361,Horror,r1
39,18,2012,Chernobyl Diaries,1000000,18119640,42411721,59531361,60.531361,Mystery,r1
39,18,2012,Chernobyl Diaries,1000000,18119640,42411721,59531361,60.531361,Thriller,r1
40,16,1996,Swingers,200000,4505922,6618578,10924500,55.6225,Comedy,r1
41,67,2013,The Purge,3000000,64473115,91266581,152739696,51.913232,Horror,r1
41,67,2013,The Purge,3000000,64473115,91266581,152739696,51.913232,Thriller,r1
46,66,2015,War Room,3000000,67790117,73975239,138765356,47.25511866666667,Drama,r1
49,17,2013,You're Next,1000000,18494006,26887177,44381183,45.381183,Action,r1
49,17,2013,You're Next,1000000,18494006,26887177,44381183,45.381183,Comedy,r1
49,17,2013,You're Next,1000000,18494006,26887177,44381183,45.381183,Horror,r1
50,69,2012,Sinister,3000000,48086903,87727807,132814710,45.27157,Horror,r1
50,69,2012,Sinister,3000000,48086903,87727807,132814710,45.27157,Mystery,r1
50,69,2012,Sinister,3000000,48086903,87727807,132814710,45.27157,Thriller,r1
51,86,2017,A Ghost Story,100000,1594798,2769782,4264580,43.6458,Drama,r1
51,86,2017,A Ghost Story,100000,1594798,2769782,4264580,43.6458,Romance,r1
52,55,2016,Lights Out,5000000,67268835,148806510,211075345,43.215069,Drama,r1
56,12,2013,A Haunted House,2500000,40041683,59922558,97464241,39.9856964,Comedy,r1
58,59,2012,Paranormal Activity 4,5000000,53900335,142817992,191718327,39.3436654,Horror,r1
58,59,2012,Paranormal Activity 4,5000000,53900335,142817992,191718327,39.3436654,Mystery,r1
58,59,2012,Paranormal Activity 4,5000000,53900335,142817992,191718327,39.3436654,Thriller,r1
59,73,2012,Your Sister's Sister,120000,1597486,3090593,4568079,39.067325,Comedy,r1
59,73,2012,Your Sister's Sister,120000,1597486,3090593,4568079,39.067325,Drama,r1
60,91,2018,Truth or Dare,3500000,41411015,95127344,133038359,39.01095971428571,Horror,r1
60,91,2018,Truth or Dare,3500000,41411015,95127344,133038359,39.01095971428571,Romance,r1
60,91,2018,Truth or Dare,3500000,41411015,95127344,133038359,39.01095971428571,Thriller,r1
61,78,1998,Cube,250000,489220,8969065,9208285,37.83314,Documentary,r1
62,38,2013,Fruitvale Station,900000,16098998,17549645,32748643,37.38738111111111,Drama,r1
62,38,2013,Fruitvale Station,900000,16098998,17549645,32748643,37.38738111111111,Romance,r1
63,58,2017,Happy Death Day,5000000,55683845,125010260,175694105,36.138821,Horror,r1
63,58,2017,Happy Death Day,5000000,55683845,125010260,175694105,36.138821,Mystery,r1
63,58,2017,Happy Death Day,5000000,55683845,125010260,175694105,36.138821,Thriller,r1
64,54,2016,10 Cloverfield Lane,5000000,72082999,108286422,175369421,36.0738842,Drama,r1
64,54,2016,10 Cloverfield Lane,5000000,72082999,108286422,175369421,36.0738842,Horror,r1
64,54,2016,10 Cloverfield Lane,5000000,72082999,108286422,175369421,36.0738842,Mystery,r1
67,87,2011,Courageous,2000000,34522221,35185884,67708105,34.8540525,Drama,r1
69,65,2003,Cabin Fever,1500000,21158188,30351664,50009852,34.33990133333333,Horror,r1
71,56,2015,The Visit,5000000,65206105,98677816,158883921,32.7767842,Comedy,r1
71,56,2015,The Visit,5000000,65206105,98677816,158883921,32.7767842,Drama,r1
71,56,2015,The Visit,5000000,65206105,98677816,158883921,32.7767842,Romance,r1
72,72,2017,Sleight,250000,3930990,3934450,7615440,31.46176,Action,r1
72,72,2017,Sleight,250000,3930990,3934450,7615440,31.46176,Drama,r1
72,72,2017,Sleight,250000,3930990,3934450,7615440,31.46176,Sci-Fi,r1
75,60,2014,Ouija,5000000,50856010,103300632,149156642,30.8313284,Horror,r1
75,60,2014,Ouija,5000000,50856010,103300632,149156642,30.8313284,Mystery,r1
75,60,2014,Ouija,5000000,50856010,103300632,149156642,30.8313284,Thriller,r1
82,74,2011,Like Crazy,250000,3395391,3728400,6873791,28.495164,Drama,r1
82,74,2011,Like Crazy,250000,3395391,3728400,6873791,28.495164,Romance,r1
85,67,2006,Clean,10000,138711,138711,267422,27.7422,Comedy,r1
85,67,2006,Clean,10000,138711,138711,267422,27.7422,Drama,r1
85,67,2006,Clean,10000,138711,138711,267422,27.7422,Horror,r1
86,66,2007,Waitress,1500000,19097550,22217183,39814733,27.543155333333335,Drama,r1
87,7,2006,Hostel,4800000,47326473,82241110,124767583,26.993246458333335,Action,r1
87,7,2006,Hostel,4800000,47326473,82241110,124767583,26.993246458333335,Crime,r1
87,7,2006,Hostel,4800000,47326473,82241110,124767583,26.993246458333335,Drama,r1
88,13,2012,2016: Obama's America,2500000,33349941,33349941,64199882,26.6799528,Documentary,r1
91,25,2010,Blue Valentine,1000000,9737892,16566240,25304132,26.304132,Drama,r1
91,25,2010,Blue Valentine,1000000,9737892,16566240,25304132,26.304132,Romance,r1
92,82,2000,Billy Elliot,5000000,21995263,109253745,126249008,26.2498016,Comedy,r1
92,82,2000,Billy Elliot,5000000,21995263,109253745,126249008,26.2498016,Drama,r1
96,14,2013,Kevin Hart: Let Me Explain,2500000,32244051,32327255,62071306,25.8285224,Comedy,r1
96,14,2013,Kevin Hart: Let Me Explain,2500000,32244051,32327255,62071306,25.8285224,Documentary,r1
99,29,2018,Unfriended: Dark Web,1000000,8866745,16434588,24301333,25.301333,Crime,r1
99,29,2018,Unfriended: Dark Web,1000000,8866745,16434588,24301333,25.301333,Horror,r1
99,29,2018,Unfriended: Dark Web,1000000,8866745,16434588,24301333,25.301333,Mystery,r1
101,70,2014,Paranormal Activity: The Marked Ones,5000000,32462372,90904854,118367226,24.6734452,Horror,r1
101,70,2014,Paranormal Activity: The Marked Ones,5000000,32462372,90904854,118367226,24.6734452,Mystery,r1
101,70,2014,Paranormal Activity: The Marked Ones,5000000,32462372,90904854,118367226,24.6734452,Thriller,r1
102,18,2011,The Grace Card,200000,2430735,2430735,4661470,24.30735,Drama,r1
105,81,2015,The Boy Next Door,4000000,36006065,53401938,85408003,22.35200075,Horror,r1
105,81,2015,The Boy Next Door,4000000,36006065,53401938,85408003,22.35200075,Thriller,r1
109,85,2014,Boyhood,4000000,25379975,57273049,78653024,20.663256,Drama,r1
110,75,2011,Kevin Hart: Laugh at My Pain,750000,7706436,7712436,14668872,20.558496,Comedy,r1
110,75,2011,Kevin Hart: Laugh at My Pain,750000,7706436,7712436,14668872,20.558496,Documentary,r1
111,63,2015,The Gift,5000000,43787265,58978477,97765742,20.5531484,Drama,r1
115,39,2016,Meet the Blacks,900000,9097072,9097072,17294144,20.215715555555555,Comedy,r1
115,39,2016,Meet the Blacks,900000,9097072,9097072,17294144,20.215715555555555,Horror,r1
116,31,2015,The Green Inferno,1000000,7192291,12931420,19123711,20.123711,Horror,r1
118,18,2012,Beasts of the Southern Wild,1800000,12795746,23265132,34260878,20.033821111111113,Drama,r1
119,95,2018,Winchester,3500000,25091816,44378040,65969856,19.848530285714286,Drama,r1
120,69,2003,Monster,5000000,34469210,64240813,93710023,19.7420046,Action,r1
120,69,2003,Monster,5000000,34469210,64240813,93710023,19.7420046,Comedy,r1
121,49,2015,Exeter,25000,0,489792,464792,19.59168,Horror,r1
121,49,2015,Exeter,25000,0,489792,464792,19.59168,Mystery,r1
121,49,2015,Exeter,25000,0,489792,464792,19.59168,Thriller,r1
122,48,2011,Another Earth,175000,1321194,2102779,3248973,19.56556,Drama,r1
122,48,2011,Another Earth,175000,1321194,2102779,3248973,19.56556,Romance,r1
122,48,2011,Another Earth,175000,1321194,2102779,3248973,19.56556,Sci-Fi,r1
123,64,2017,The Big Sick,5000000,42872467,53972860,91845327,19.3690654,Comedy,r1
123,64,2017,The Big Sick,5000000,42872467,53972860,91845327,19.3690654,Drama,r1
123,64,2017,The Big Sick,5000000,42872467,53972860,91845327,19.3690654,Romance,r1
124,94,2015,It Follows,2000000,14674077,23250755,35924832,18.962416,Horror,r1
124,94,2015,It Follows,2000000,14674077,23250755,35924832,18.962416,Mystery,r1
125,68,2001,Cure,10000,94596,94596,179192,18.9192,Drama,r1
128,94,2016,The Witch,3500000,25138705,40454520,62093225,18.74092142857143,Horror,r1
128,94,2016,The Witch,3500000,25138705,40454520,62093225,18.74092142857143,Mystery,r1
133,73,2013,Dallas Buyers Club,5000000,27298285,60611845,82910130,17.582026,Drama,r1
134,33,2012,The Sessions,1000000,6002451,11495204,16497655,17.497655,Comedy,r1
134,33,2012,The Sessions,1000000,6002451,11495204,16497655,17.497655,Drama,r1
138,32,2017,I Am Not Your Negro,1000000,7123919,9617402,15741321,16.741321,Documentary,r1
141,18,2010,Tiny Furniture,50000,391674,424149,765823,16.31646,Comedy,r1
141,18,2010,Tiny Furniture,50000,391674,424149,765823,16.31646,Drama,r1
141,18,2010,Tiny Furniture,50000,391674,424149,765823,16.31646,Romance,r1
148,43,2014,Whiplash,3300000,13092006,38969037,48761043,15.776073636363636,Drama,r1
149,48,2000,The Terrorist,25000,195043,195043,365086,15.60344,Thriller,r1
153,97,2012,Silent House,2000000,12739737,16610760,27350497,14.6752485,Drama,r1
153,97,2012,Silent House,2000000,12739737,16610760,27350497,14.6752485,Horror,r1
153,97,2012,Silent House,2000000,12739737,16610760,27350497,14.6752485,Mystery,r1
155,70,2018,Unsane,1500000,7690044,14244931,20434975,14.623316666666666,Drama,r1
155,70,2018,Unsane,1500000,7690044,14244931,20434975,14.623316666666666,Horror,r1
155,70,2018,Unsane,1500000,7690044,14244931,20434975,14.623316666666666,Mystery,r1
156,72,2014,Oculus,5000000,27695246,44115496,66810742,14.3621484,Horror,r1
156,72,2014,Oculus,5000000,27695246,44115496,66810742,14.3621484,Mystery,r1
157,87,2010,The Kids Are All Right,4000000,20811365,36275469,53086834,14.2717085,Comedy,r1
157,87,2010,The Kids Are All Right,4000000,20811365,36275469,53086834,14.2717085,Drama,r1
157,87,2010,The Kids Are All Right,4000000,20811365,36275469,53086834,14.2717085,Romance,r1
159,95,2006,Brick,450000,2075743,4243996,5869739,14.043864444444445,Drama,r1
159,95,2006,Brick,450000,2075743,4243996,5869739,14.043864444444445,Romance,r1
160,74,2015,No Escape,5000000,27288872,42844516,65133388,14.0266776,Action,r1
160,74,2015,No Escape,5000000,27288872,42844516,65133388,14.0266776,Thriller,r1
163,95,2018,Eighth Grade,2000000,13539710,14341016,25880726,13.940363,Comedy,r1
163,95,2018,Eighth Grade,2000000,13539710,14341016,25880726,13.940363,Drama,r1
167,35,2017,Lowriders,916000,6179955,6188421,11452376,13.502593886462883,Crime,r1
167,35,2017,Lowriders,916000,6179955,6188421,11452376,13.502593886462883,Drama,r1
169,100,2016,Hardcore Henry,2000000,9252038,17187434,24439472,13.219736,Action,r1
169,100,2016,Hardcore Henry,2000000,9252038,17187434,24439472,13.219736,Sci-Fi,r1
170,17,1996,Shine,5500000,35811509,36672493,66984002,13.178909454545455,Drama,r1
171,19,2008,The Signal,50000,251150,406299,607449,13.14898,Drama,r1
171,19,2008,The Signal,50000,251150,406299,607449,13.14898,Mystery,r1
171,19,2008,The Signal,50000,251150,406299,607449,13.14898,Sci-Fi,r1
174,97,2013,Dark Skies,3500000,17418667,27704111,41622778,12.892222285714286,Horror,r1
174,97,2013,Dark Skies,3500000,17418667,27704111,41622778,12.892222285714286,Sci-Fi,r1
174,97,2013,Dark Skies,3500000,17418667,27704111,41622778,12.892222285714286,Thriller,r1
175,76,2015,The Lazarus Effect,5000000,25801570,38359310,59160880,12.832176,Horror,r1
175,76,2015,The Lazarus Effect,5000000,25801570,38359310,59160880,12.832176,Mystery,r1
175,76,2015,The Lazarus Effect,5000000,25801570,38359310,59160880,12.832176,Sci-Fi,r1
178,84,2014,"As Above, So Below",5000000,21222315,41824066,58046381,12.6092762,Documentary,r1
186,92,2015,Still Alice,5000000,18656400,41699612,55356012,12.0712024,Drama,r1
189,18,2013,Don Jon,5500000,24477704,41268579,60246283,11.953869636363637,Comedy,r1
189,18,2013,Don Jon,5500000,24477704,41268579,60246283,11.953869636363637,Drama,r1
189,18,2013,Don Jon,5500000,24477704,41268579,60246283,11.953869636363637,Romance,r1
190,59,2014,All You Need Is Love,300000,0,3565259,3265259,11.884196666666666,Documentary,r1
191,60,2015,Do You Believe?,2300000,12985600,14304931,24990531,11.865448260869565,Drama,r1
192,50,2010,Monsters,500000,237301,5639730,5377031,11.754062,Drama,r1
192,50,2010,Monsters,500000,237301,5639730,5377031,11.754062,Sci-Fi,r1
192,50,2010,Monsters,500000,237301,5639730,5377031,11.754062,Thriller,r1
195,25,2016,Hunt for the Wilderpeople,2500000,5205471,23845533,26551004,11.6204016,Comedy,r1
195,25,2016,Hunt for the Wilderpeople,2500000,5205471,23845533,26551004,11.6204016,Drama,r1
200,8,2010,Winter's Bone,2000000,6531503,16131551,20663054,11.331527,Drama,r1
200,8,2010,Winter's Bone,2000000,6531503,16131551,20663054,11.331527,Mystery,r1
201,77,2012,Safety Not Guaranteed,750000,4010957,4422318,7683275,11.244366666666666,Comedy,r1
201,77,2012,Safety Not Guaranteed,750000,4010957,4422318,7683275,11.244366666666666,Drama,r1
201,77,2012,Safety Not Guaranteed,750000,4010957,4422318,7683275,11.244366666666666,Romance,r1
202,2,2010,Buried,1987650,1044143,21270290,20326783,11.22654038688904,Drama,r1
202,2,2010,Buried,1987650,1044143,21270290,20326783,11.22654038688904,Mystery,r1
202,2,2010,Buried,1987650,1044143,21270290,20326783,11.22654038688904,Thriller,r1
204,54,2018,Sorry to Bother You,3200000,17493096,18285560,32578656,11.18083,Comedy,r1
204,54,2018,Sorry to Bother You,3200000,17493096,18285560,32578656,11.18083,Sci-Fi,r1
205,36,2014,The Skeleton Twins,1000000,5284309,5797192,10081501,11.081501,Comedy,r1
205,36,2014,The Skeleton Twins,1000000,5284309,5797192,10081501,11.081501,Drama,r1
205,36,2014,The Skeleton Twins,1000000,5284309,5797192,10081501,11.081501,Romance,r1
208,79,2018,The Strangers: Prey at Night,5000000,24431472,29960051,49391523,10.8783046,Horror,r1
210,43,2011,Weekend,190000,484592,1577585,1872177,10.853563157894737,Drama,r1
210,43,2011,Weekend,190000,484592,1577585,1872177,10.853563157894737,Romance,r1
213,35,2012,October Baby,1000000,5355847,5391992,9747839,10.747839,Drama,r1
215,99,2013,Before Midnight,3000000,8110621,23251930,28362551,10.454183666666667,Drama,r1
215,99,2013,Before Midnight,3000000,8110621,23251930,28362551,10.454183666666667,Romance,r1
218,90,2013,The Last Exorcism Part II,4000000,15179303,25448707,36628010,10.1570025,Drama,r1
218,90,2013,The Last Exorcism Part II,4000000,15179303,25448707,36628010,10.1570025,Horror,r1
218,90,2013,The Last Exorcism Part II,4000000,15179303,25448707,36628010,10.1570025,Thriller,r1
219,78,2011,Our Idiot Brother,5000000,24814830,25861249,45676079,10.1352158,Comedy,r1
219,78,2011,Our Idiot Brother,5000000,24814830,25861249,45676079,10.1352158,Drama,r1
223,95,2000,Saving Grace,4000000,12178602,27786849,35965451,9.99136275,Crime,r1
223,95,2000,Saving Grace,4000000,12178602,27786849,35965451,9.99136275,Drama,r1
223,95,2000,Saving Grace,4000000,12178602,27786849,35965451,9.99136275,Horror,r1
224,10,2012,Burn,225000,1109276,1109276,1993552,9.86023111111111,Documentary,r1
227,42,2014,The Lunchbox,1700000,4231500,12231500,14763000,9.684117647058823,Drama,r1
227,42,2014,The Lunchbox,1700000,4231500,12231500,14763000,9.684117647058823,Romance,r1
228,83,2013,The Way Way Back,5000000,21502690,26853810,43356500,9.6713,Comedy,r1
228,83,2013,The Way Way Back,5000000,21502690,26853810,43356500,9.6713,Drama,r1
229,38,2016,Krisha,30000,144822,144822,259644,9.6548,Drama,r1
230,89,2014,A Haunted House 2,4000000,17329487,21206861,34536348,9.634087,Comedy,r1
232,89,2018,Upgrade,3000000,11977130,16553285,25530415,9.510138333333334,Action,r1
232,89,2018,Upgrade,3000000,11977130,16553285,25530415,9.510138333333334,Sci-Fi,r1
232,89,2018,Upgrade,3000000,11977130,16553285,25530415,9.510138333333334,Thriller,r1
235,98,2018,Forever My Girl,3500000,16376066,16376066,29252132,9.357752,Drama,r1
235,98,2018,Forever My Girl,3500000,16376066,16376066,29252132,9.357752,Romance,r1
244,3,2013,Spring Breakers,5000000,14124286,31149251,40273537,9.0547074,Comedy,r1
244,3,2013,Spring Breakers,5000000,14124286,31149251,40273537,9.0547074,Crime,r1
244,3,2013,Spring Breakers,5000000,14124286,31149251,40273537,9.0547074,Drama,r1
245,85,2016,God's Not Dead 2,5000000,20773069,23551286,39324355,8.864871,Drama,r1
247,94,2011,Apollo 18,5000000,17686929,26517819,39204748,8.8409496,Horror,r1
247,94,2011,Apollo 18,5000000,17686929,26517819,39204748,8.8409496,Mystery,r1
247,94,2011,Apollo 18,5000000,17686929,26517819,39204748,8.8409496,Sci-Fi,r1
249,95,2018,"Paul, Apostle of Christ",5000000,17547999,25529498,38077497,8.6154994,Drama,r1
250,11,2017,The Florida Project,2000000,5904366,11295324,15199690,8.599845,Drama,r1
251,18,2012,Barfi,4600000,2804874,36751984,34956858,8.59931695652174,Comedy,r1
251,18,2012,Barfi,4600000,2804874,36751984,34956858,8.59931695652174,Romance,r1
252,90,2016,Race,5000000,19115191,23745772,37860963,8.5721926,Documentary,r1
257,42,2011,Martha Marcy May Marlene,1000000,2981038,5438911,7419949,8.419949,Drama,r1
257,42,2011,Martha Marcy May Marlene,1000000,2981038,5438911,7419949,8.419949,Mystery,r1
257,42,2011,Martha Marcy May Marlene,1000000,2981038,5438911,7419949,8.419949,Thriller,r1
258,86,1997,The Apostle,5000000,20733485,21277770,37011255,8.402251,Horror,r1
260,37,1999,Beyond the Mat,500000,2047570,2047570,3595140,8.19028,Drama,r1
264,51,2014,Dear White People,1250000,4404154,5403771,8557925,7.84634,Comedy,r1
264,51,2014,Dear White People,1250000,4404154,5403771,8557925,7.84634,Drama,r1
264,51,2014,Dear White People,1250000,4404154,5403771,8557925,7.84634,Romance,r1
269,37,2011,Margin Call,3400000,5353586,20433227,22386813,7.584356764705882,Drama,r1
269,37,2011,Margin Call,3400000,5353586,20433227,22386813,7.584356764705882,Thriller,r1
271,3,2014,Ida,2600000,3827060,15298355,16525415,7.355928846153846,Drama,r1
273,7,1998,Smoke Signals,2000000,6719300,7756617,12475917,7.2379585,Documentary,r1
275,2,2008,The Visitor,4000000,9427026,19174817,24601843,7.15046075,Drama,r1
275,2,2008,The Visitor,4000000,9427026,19174817,24601843,7.15046075,Romance,r1
277,15,2003,Thirteen,2000000,4601043,9505996,12107039,7.0535195,Drama,r1
279,96,2014,Addicted,5000000,17390770,17499242,29890012,6.9780024,Drama,r1
279,96,2014,Addicted,5000000,17390770,17499242,29890012,6.9780024,Thriller,r1
283,20,2015,We Are Your Friends,2000000,3591417,10153415,11744832,6.872416,Drama,r1
283,20,2015,We Are Your Friends,2000000,3591417,10153415,11744832,6.872416,Romance,r1
285,15,2016,Fifty Shades of Black,5000000,11686940,22113075,28800015,6.760003,Comedy,r1
288,4,2017,It Comes at Night,5000000,13985117,19720203,28705320,6.741064,Horror,r1
288,4,2017,It Comes at Night,5000000,13985117,19720203,28705320,6.741064,Mystery,r1
291,5,1996,She's the One,3500000,9482579,13795053,19777632,6.650752,Drama,r1
291,5,1996,She's the One,3500000,9482579,13795053,19777632,6.650752,Romance,r1
294,41,2014,Obvious Child,1000000,3122616,3324070,5446686,6.446686,Comedy,r1
294,41,2014,Obvious Child,1000000,3122616,3324070,5446686,6.446686,Drama,r1
294,41,2014,Obvious Child,1000000,3122616,3324070,5446686,6.446686,Romance,r1
298,57,2011,Beginners,3200000,5790894,14314407,16905301,6.2829065625,Comedy,r1
298,57,2011,Beginners,3200000,5790894,14314407,16905301,6.2829065625,Drama,r1
298,57,2011,Beginners,3200000,5790894,14314407,16905301,6.2829065625,Romance,r1
300,12,2017,Before I Fall,5000000,12241072,18945682,26186754,6.2373508,Drama,r1
300,12,2017,Before I Fall,5000000,12241072,18945682,26186754,6.2373508,Mystery,r1
303,44,2007,Bella,3300000,8093373,12405473,17198846,6.211771515151515,Drama,r1
304,68,2012,Sound of My Voice,135000,408015,429448,702463,6.20342962962963,Drama,r1
304,68,2012,Sound of My Voice,135000,408015,429448,702463,6.20342962962963,Mystery,r1
304,68,2012,Sound of My Voice,135000,408015,429448,702463,6.20342962962963,Sci-Fi,r1
306,1,2009,The Collector,3000000,7712114,10473836,15185950,6.061983333333333,Action,r1
306,1,2009,The Collector,3000000,7712114,10473836,15185950,6.061983333333333,Comedy,r1
307,17,2010,Inside Job,2000000,4311834,7799257,10111091,6.0555455,Crime,r1
307,17,2010,Inside Job,2000000,4311834,7799257,10111091,6.0555455,Documentary,r1
309,9,2014,Meet the Mormons,2000000,6047363,6049171,10096534,6.048267,Documentary,r1
310,32,2016,The Lobster,4500000,9196278,18019834,22716112,6.048024888888889,Comedy,r1
310,32,2016,The Lobster,4500000,9196278,18019834,22716112,6.048024888888889,Drama,r1
310,32,2016,The Lobster,4500000,9196278,18019834,22716112,6.048024888888889,Romance,r1
311,96,1999,Trippin',3000000,9017070,9017070,15034140,6.01138,Comedy,r1
311,96,1999,Trippin',3000000,9017070,9017070,15034140,6.01138,Horror,r1
314,28,1996,Secrets & Lies,4500000,13417292,13417292,22334584,5.963240888888889,Drama,r1
314,28,1996,Secrets & Lies,4500000,13417292,13417292,22334584,5.963240888888889,Romance,r1
320,12,2017,All Saints,2000000,5802208,5941994,9744202,5.872101,Drama,r1
322,8,2006,Water,3000000,5529144,11322573,13851717,5.617239,Crime,r1
322,8,2006,Water,3000000,5529144,11322573,13851717,5.617239,Thriller,r1
323,22,2013,The Spectacular Now,2500000,6852971,6916951,11269922,5.5079688,Comedy,r1
323,22,2013,The Spectacular Now,2500000,6852971,6916951,11269922,5.5079688,Drama,r1
323,22,2013,The Spectacular Now,2500000,6852971,6916951,11269922,5.5079688,Romance,r1
326,11,2013,ABCD (Any Body Can Dance),1900000,222098,10137234,8459332,5.45228,Drama,r1
327,98,2016,The Darkness,4000000,10753574,10898293,17651867,5.41296675,Horror,r1
327,98,2016,The Darkness,4000000,10753574,10898293,17651867,5.41296675,Thriller,r1
329,20,2018,Hell Fest,5500000,11107431,18119231,23726662,5.313938545454546,Horror,r1
332,8,2016,Hillary's America: The Secret History of the Democratic Party,5000000,13099931,13099931,21199862,5.2399724,Documentary,r1
336,14,2013,Frances Ha,3000000,4067398,11262769,12330167,5.110055666666667,Comedy,r1
336,14,2013,Frances Ha,3000000,4067398,11262769,12330167,5.110055666666667,Drama,r1
336,14,2013,Frances Ha,3000000,4067398,11262769,12330167,5.110055666666667,Romance,r1
337,77,2013,The To Do List,1500000,3491669,4128828,6120497,5.0803313333333335,Comedy,r1
337,77,2013,The To Do List,1500000,3491669,4128828,6120497,5.0803313333333335,Romance,r1
339,100,2001,The Wash,4000000,10097096,10097096,16194192,5.048548,Thriller,r1
346,3,2017,Let There Be Light,3000000,7233471,7241309,11474780,4.824926666666666,Documentary,r1
351,66,2013,Home Run,1200000,2859955,2859955,4519910,4.766591666666667,Drama,r1
355,52,2013,Filly Brown,1250000,2850357,2940411,4540768,4.6326144,Drama,r1
359,21,2015,Mustang,1400000,845464,5552584,4998048,4.570034285714286,Drama,r1
360,41,2000,Groove,500000,1115313,1167524,1782837,4.565674,Drama,r1
362,39,2011,Sholem Aleichem: Laughing in the Darkness,500000,1131261,1131261,1762522,4.525044,Documentary,r1
363,31,2010,Sea Rex 3D: Journey to a Prehistoric World,5000000,6096582,16515203,17611785,4.522357,Documentary,r1
366,21,2017,The Belko Experiment,5000000,10166820,11792942,16959762,4.3919524,Horror,r1
366,21,2017,The Belko Experiment,5000000,10166820,11792942,16959762,4.3919524,Thriller,r1
367,24,1995,Before Sunrise,2500000,5274005,5690220,8464225,4.38569,Drama,r1
368,13,2004,Tarnation,400000,592014,1162014,1354028,4.38507,Comedy,r1
368,13,2004,Tarnation,400000,592014,1162014,1354028,4.38507,Horror,r1
371,35,2012,Bachelorette,3000000,446770,12577401,10024171,4.341390333333333,Comedy,r1
371,35,2012,Bachelorette,3000000,446770,12577401,10024171,4.341390333333333,Romance,r1
372,1,2015,Mommy,4900000,3498695,17536004,16134699,4.292795714285714,Drama,r1
375,68,2012,Compliance,270000,319285,830700,879985,4.259203703703704,Crime,r1
375,68,2012,Compliance,270000,319285,830700,879985,4.259203703703704,Drama,r1
376,41,2014,The Babadook,2000000,950792,7482387,6433179,4.2165895,Drama,r1
376,41,2014,The Babadook,2000000,950792,7482387,6433179,4.2165895,Horror,r1
377,20,2014,Moms' Night Out,5000000,10429707,10537341,15967048,4.1934096,Comedy,r1
383,22,2016,The Perfect Match,5000000,9669521,10182050,14851571,3.9703142,Documentary,r1
387,8,2007,Bug,4000000,7006708,8302995,11309703,3.82742575,Drama,r1
387,8,2007,Bug,4000000,7006708,8302995,11309703,3.82742575,Mystery,r1
387,8,2007,Bug,4000000,7006708,8302995,11309703,3.82742575,Thriller,r1
388,79,1997,Love and Other Catastrophes,250000,212285,743216,705501,3.822004,Comedy,r1
388,79,1997,Love and Other Catastrophes,250000,212285,743216,705501,3.822004,Drama,r1
400,21,2016,Compadres,3000000,3127773,7445044,7572817,3.5242723333333332,Action,r1
400,21,2016,Compadres,3000000,3127773,7445044,7572817,3.5242723333333332,Comedy,r1
400,21,2016,Compadres,3000000,3127773,7445044,7572817,3.5242723333333332,Crime,r1
405,10,2016,Swiss Army Man,3000000,4210454,5837111,7047565,3.349188333333333,Comedy,r1
405,10,2016,Swiss Army Man,3000000,4210454,5837111,7047565,3.349188333333333,Drama,r1
